schedule,year,rep,problem,name,model,time_ms,objective,status
ek1-8c-8s-v2,2008,1,shortest_path,00,shortest_path,526,88,Optimal
ek1-8c-8s-v2,2008,1,shortest_path,01,shortest_path,493,42,Optimal
ek1-8c-8s-v2,2008,1,shortest_path,02,shortest_path,503,59,Optimal
ek1-8c-8s-v2,2008,1,shortest_path,03,shortest_path,548,226,Optimal
ek1-8c-8s-v2,2008,1,shortest_path,04,shortest_path,614,111,Optimal
ek1-8c-8s-v2,2008,1,shortest_path,05,shortest_path,503,224,Optimal
ek1-8c-8s-v2,2008,1,shortest_path,06,shortest_path,480,57,Optimal
ek1-8c-8s-v2,2008,1,shortest_path,07,shortest_path,526,411,Optimal
ek1-8c-8s-v2,2008,1,shortest_path,08,shortest_path,571,144,Optimal
ek1-8c-8s-v2,2008,1,shortest_path,09,shortest_path,1431,549,Optimal
ek1-8c-8s-v2,2008,1,slow_convergence,0100,slow_convergence,513,,Satisfied
ek1-8c-8s-v2,2008,1,slow_convergence,0200,slow_convergence,451,,Satisfied
ek1-8c-8s-v2,2008,1,slow_convergence,0300,slow_convergence,2405,,Satisfied
ek1-8c-8s-v2,2008,1,slow_convergence,0400,slow_convergence,4469,,Satisfied
ek1-8c-8s-v2,2008,1,slow_convergence,0500,slow_convergence,7780,,Satisfied
ek1-8c-8s-v2,2008,1,slow_convergence,0600,slow_convergence,11976,,Satisfied
ek1-8c-8s-v2,2008,1,slow_convergence,0700,slow_convergence,17922,,Satisfied
ek1-8c-8s-v2,2008,1,slow_convergence,0800,slow_convergence,27037,,Satisfied
ek1-8c-8s-v2,2008,1,slow_convergence,0900,slow_convergence,36693,,Satisfied
ek1-8c-8s-v2,2008,1,slow_convergence,1000,slow_convergence,48855,,Satisfied
