schedule,year,rep,problem,name,model,time_ms,objective,status
k1-8c-8s-v1,2008,1,shortest_path,00,shortest_path,443,88,Optimal
k1-8c-8s-v1,2008,1,shortest_path,01,shortest_path,426,42,Optimal
k1-8c-8s-v1,2008,1,shortest_path,02,shortest_path,465,59,Optimal
k1-8c-8s-v1,2008,1,shortest_path,03,shortest_path,615,226,Optimal
k1-8c-8s-v1,2008,1,shortest_path,04,shortest_path,559,111,Optimal
k1-8c-8s-v1,2008,1,shortest_path,05,shortest_path,461,224,Optimal
k1-8c-8s-v1,2008,1,shortest_path,06,shortest_path,516,57,Optimal
k1-8c-8s-v1,2008,1,shortest_path,07,shortest_path,502,411,Optimal
k1-8c-8s-v1,2008,1,shortest_path,08,shortest_path,547,144,Optimal
k1-8c-8s-v1,2008,1,shortest_path,09,shortest_path,1184,549,Optimal
k1-8c-8s-v1,2008,1,slow_convergence,0100,slow_convergence,494,,Satisfied
k1-8c-8s-v1,2008,1,slow_convergence,0200,slow_convergence,454,,Satisfied
k1-8c-8s-v1,2008,1,slow_convergence,0300,slow_convergence,2062,,Satisfied
k1-8c-8s-v1,2008,1,slow_convergence,0400,slow_convergence,3845,,Satisfied
k1-8c-8s-v1,2008,1,slow_convergence,0500,slow_convergence,6789,,Satisfied
k1-8c-8s-v1,2008,1,slow_convergence,0600,slow_convergence,11264,,Satisfied
k1-8c-8s-v1,2008,1,slow_convergence,0700,slow_convergence,17420,,Satisfied
k1-8c-8s-v1,2008,1,slow_convergence,0800,slow_convergence,24800,,Satisfied
k1-8c-8s-v1,2008,1,slow_convergence,0900,slow_convergence,33883,,Satisfied
k1-8c-8s-v1,2008,1,slow_convergence,1000,slow_convergence,45564,,Satisfied
